CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV;RDID
852;3;5033;L;7;0;;;4528;1806;30;;
852;3;4455;L;7;0;;;4528;9851;30;;
852;3;50667;L;1;3;5301;;4529;4335;5;;
852;3;50660;L;1;3;5214;;4530;10361;5;;
852;3;50679;L;1;3;5314;;4539;4537;30;;
852;3;50664;L;1;3;5218;;4539;4658;5;;
852;3;50628;L;1;2;52;;4518;2509;2;;
852;3;6003;L;7;0;;;4547;1806;151;;
852;3;50689;L;1;2;541;;4549;4544;30;;
852;3;50470;L;1;2;44;;4551;3517;2;;
852;3;50666;L;1;2;54;;4551;10313;5;;
852;3;50567;L;1;3;4622;;4552;5398;5;;
852;3;51416;L;5;0;;1336;4557;2617;3187;;
852;3;51505;L;5;0;;2578;4557;3241;3187;;
852;3;50996;L;1;3;7357;;4564;4563;1349;;
852;3;50995;L;1;3;7356;;4565;4566;1349;;
852;3;50325;L;1;3;3709;;4574;9041;7;;
852;3;50738;L;1;3;5616;;4576;2772;4;;
852;3;51710;L;5;0;;4758;4578;1285;3194;;
852;3;51955;L;5;0;;9952;4578;11748;3194;;
852;3;50677;L;1;3;5501;;4582;987;5;;
852;3;51376;L;5;0;;846;4585;9597;3179;;
