CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN;JNID
852;3;20770;P;1;11;;;3407;;52;;;50109;1;1;1;1;1;1;;;+01993110;+4778470;;0;
852;3;20771;P;1;12;;;9461;;482;;;50109;1;1;1;1;1;1;;;+01995730;+4781160;;0;
852;3;20772;P;1;12;;;3423;;52;;;50109;1;1;1;1;1;1;;;+01995930;+4781630;;0;
852;3;20773;P;1;12;;;7859;;52;;;50109;1;1;1;1;1;1;;;+01997110;+4782760;;0;
852;3;20774;P;1;12;;;7860;;52;;;50109;1;1;1;1;1;1;;;+01997870;+4786940;;0;
852;3;20775;P;1;12;;;3177;;2049;;;50109;1;1;1;1;1;1;;;+01997490;+4788890;;0;
852;3;20776;P;1;12;;;9230;;2049;;;50109;1;1;1;1;1;1;;;+01998790;+4791310;;0;
852;3;20777;P;1;12;;;9228;;733;;;50109;1;1;1;1;1;1;;;+02002660;+4792400;;0;
852;3;20778;P;1;12;;;9229;;733;;;50109;1;1;1;1;1;1;;;+02003010;+4792310;;0;
852;3;20779;P;1;12;;;9751;;494;;;50109;1;1;1;1;1;1;;;+02010380;+4793130;;0;
852;3;20780;P;1;12;;;9752;;494;;;50109;1;1;1;1;1;1;;;+02010900;+4793550;;0;
852;3;20781;P;1;12;;;9750;;494;;;50109;1;1;1;1;1;1;;;+02011440;+4793590;;0;
852;3;20782;P;1;12;;;10138;;756;;;50109;1;1;1;1;1;1;;;+02017690;+4792120;;0;
852;3;20783;P;1;12;;;5515;;756;;;50109;1;1;1;1;1;1;;;+02019320;+4792770;;0;
852;3;20784;P;1;12;;;10136;;756;;;50109;1;1;1;1;1;1;;;+02019570;+4793100;;0;
852;3;20785;P;1;12;;;2623;;1044;;;50109;1;1;1;1;1;1;;;+02029070;+4793430;;0;
852;3;20786;P;1;12;;;2612;;39;;;50109;1;1;1;1;1;1;;;+02036640;+4790840;;0;
852;3;21477;P;1;12;;;3416;;52;;;50220;1;1;1;1;1;1;;;+01990940;+4776390;;0;
852;3;21478;P;1;12;;;3414;;611;;;50220;1;1;1;1;1;1;;;+01991390;+4774040;;0;
852;3;21479;P;1;12;;;2701;;611;;;50220;1;1;1;1;1;1;;;+01990870;+4773420;;0;
852;3;21480;P;1;12;;;903;;940;;;50220;1;1;1;1;1;1;;;+01989130;+4772100;;0;
852;3;21481;P;1;12;;;11871;;762;;;50220;1;1;1;1;1;1;;;+01992340;+4768520;;0;
852;3;21482;P;1;12;;;11872;;762;;;50220;1;1;1;1;1;1;;;+01992700;+4768150;;0;
852;3;21483;P;1;9;;;4198;;198;;;50220;1;1;1;1;1;1;;;+01997850;+4764480;;0;
852;3;21484;P;1;12;;;4200;;198;;;50220;1;1;1;1;1;1;;;+01996990;+4763840;;0;
852;3;21485;P;1;12;;;4199;;198;;;50220;1;1;1;1;1;1;;;+01996850;+4763700;;0;
852;3;21486;P;1;12;;;4224;;719;;;50220;1;1;1;1;1;1;;;+01995200;+4759510;;0;
852;3;21487;P;1;8;;;4212;;65;;;50220;1;1;1;1;1;1;;;+01990169;+4752087;;0;
852;3;25338;P;1;12;;;3430;;708;;;50823;1;1;1;1;1;1;;;+01847740;+4655550;;0;
852;3;25339;P;1;12;;;3432;;491;;;50823;1;1;1;1;1;1;;;+01840700;+4651060;;0;
852;3;4116;P;4;0;;;7473;;153;;;4115;;;;;;;;;+01730301;+4762180;;0;
852;3;4142;P;4;0;;;7459;;153;;;4141;;;;;;;;;+01727985;+4762042;;0;
852;3;4112;P;4;0;;;7477;;2260;;;4111;;;;;;;;;+01742397;+4765496;;0;
852;3;4108;P;4;0;;;527;;1048;;;4107;;;;;;;;;+01755153;+4767761;;0;
852;3;4114;P;4;0;;;7503;;605;;;4113;;;;;;;;;+01735161;+4763936;;0;
852;3;4110;P;4;0;;;7515;;635;;;4109;;;;;;;;;+01745739;+4765315;;0;
